accounting_office_cvr,accounting_office_name,declarations,audits,reviews,extended_reviews,assistance,other_types,class_b,class_b_assistance,class_b_extended_reviews,class_b_audits,class_b_reviews,class_other,addressable_annual_reports,auditors_with_mne,source_names
12868693,Nejstgaard & Vetlov,634,68,0,129,437,0,632,437,129,66,0,2,566,5,Nejstgaard & Vetlov
32676421,Leif Mikkelsen & Partnere,622,23,0,147,452,0,618,452,147,19,0,4,599,6,Leif Mikkelsen & Partnere
28991355,Trekroner Revision,612,161,3,120,328,0,612,328,120,161,3,0,448,6,Trekroner Revision
44282380,Powered-By Statsautoriseret Revisionspartnerselskab,598,21,0,231,346,0,592,345,231,16,0,6,576,8,Powered-By Statsautoriseret Revisionspartnerselskab
27096174,Lidegaard Revision & Rådgivning,596,18,4,94,480,0,595,480,94,17,4,1,574,5,Lidegaard Revision & Rådgivning + Lidegaard Revision&Rådgivning
36563877,TJEK Revision & Rådgivning,581,25,0,181,375,0,579,375,181,23,0,2,556,9,TJEK Revision & Rådgivning
77926410,Revisionsfirmaet Albrechtsen,579,158,0,94,326,1,572,326,94,151,0,7,420,5,Revisionsfirmaet Albrechtsen
33771177,Revision og Rådgivningsgruppen,565,67,0,133,365,0,562,365,133,64,0,3,498,4,Revision og Rådgivningsgruppen
11286380,JL Revision,565,25,4,159,376,1,558,376,159,19,4,6,535,8,JL Revisorer
18437082,Lægård Revision,561,44,3,154,359,1,555,359,154,38,3,6,513,3,Lægård Revision + Lægård Revision Statsautoriseret Revisionsfirma ApS
27966675,Eco-Team,558,112,6,6,434,0,557,434,6,111,6,1,440,2,Eco-Team
33946406,Robæk,556,31,2,182,341,0,553,341,182,28,2,3,523,4,Robæk
30707907,Status Revision,549,11,0,106,432,0,549,432,106,11,0,0,538,5,Status Revision
45071391,RevisorGården Holbæk A/S,541,34,0,124,383,0,539,383,123,33,0,2,506,4,RevisorGården Holbæk A/S
14678093,Dansk Revision Roskilde,536,153,5,71,307,0,533,307,71,150,5,3,378,6,Dansk Revision Roskilde
37557064,Advosion,535,93,0,129,313,0,518,313,129,76,0,17,442,6,Advosion
69305210,Revisions-Partner,529,55,1,73,400,0,529,400,73,55,1,0,473,4,Revisions-Partner
33948794,Kreston SR,528,46,0,102,380,0,521,380,102,39,0,7,482,9,Kreston SR
20183497,Bays Revisionskontor,521,4,0,64,453,0,520,453,64,3,0,1,517,2,Bays Revisionskontor
31626536,Anker Høst,515,7,0,153,355,0,515,355,153,7,0,0,508,4,Anker Høst
37605255,Nordkyst Revision Godkendt Revisionspartnerselskab,514,21,0,73,420,0,514,420,73,21,0,0,493,3,Nordkyst Revision Godkendt Revisionspartnerselskab
70969815,K.T. Revision Vejle,505,42,0,169,293,1,502,293,169,40,0,2,462,3,K.T. Revision Vejle
19233383,Optimal Revision,488,29,1,118,340,0,488,340,118,29,1,0,458,2,Optimal Revision
37135119,Revisionsfirmaet Lars Olsen,486,2,0,182,302,0,486,302,182,2,0,0,484,6,Revisionsfirmaet Lars Olsen
37603686,Danica,485,3,0,38,444,0,485,444,38,3,0,0,482,1,Danica
36074981,Boreco,484,33,1,111,339,0,484,339,111,33,1,0,450,4,Boreco
33167288,LPOG ApS,466,20,2,116,328,0,463,328,116,17,2,3,444,4,LPOG ApS
74717810,Rønne Revision,466,27,0,147,292,0,461,292,147,22,0,5,439,4,Rønne Revision
16206407,W. Kragh,458,36,1,122,299,0,452,299,122,30,1,6,421,4,W. Kragh
18282046,Bille & Buch-Andersen,457,51,5,92,309,0,456,309,92,50,5,1,401,4,Bille & Buch-Andersen
32451195,DLBR Revision,454,15,0,377,62,0,453,62,376,15,0,0,438,3,DLBR Revision
26580390,Dansk Revision Hillerød,452,77,0,108,264,3,443,264,108,71,0,6,372,4,Dansk Revision Hillerød
86141019,Dansk Revision Frederikssund,451,49,1,81,320,0,450,320,81,48,1,1,401,5,Dansk Revision Frederikssund
34480370,Revimidt,449,15,1,72,360,1,442,360,72,9,1,6,432,5,Revimidt
27905072,Sønderup & Partnere,446,5,0,176,265,0,445,265,176,4,0,1,441,3,Sønderup & Partnere
20336390,Dansk Revision Viborg,446,31,1,54,360,0,443,360,54,28,1,3,414,5,Dansk Revision Viborg
31579309,Lou Revision,445,26,1,164,254,0,441,254,164,22,1,4,418,5,Lou Revision
29142807,Tønder Revision,442,50,0,70,322,0,442,322,70,50,0,0,392,2,Tønder Revision
38257846,RevisorDK,442,1,0,75,366,0,442,366,75,1,0,0,441,2,RevisorDK
21696382,"Dalsgaard, Stahl & Wøldike",438,22,0,131,285,0,435,285,131,19,0,3,416,3,"Dalsgaard, Stahl & Wøldike"
34619654,Revision København Godkendt Revisionspartnerselskab,418,26,2,66,324,0,415,324,66,23,2,3,390,3,Revision København Godkendt Revisionspartnerselskab
28312393,Revisionsfirmaet John Schantz,416,19,1,71,325,0,416,325,71,19,1,0,396,4,Revisionsfirmaet John Schantz
12901038,Aage Maagensen,412,50,8,144,210,0,401,210,144,39,8,11,354,5,Aage Maagensen
10422183,"Dahl, Rask & Partnere",405,7,0,117,280,1,404,280,117,6,0,1,397,3,"Dahl, Rask & Partnere"
18967901,BHA Statsautoriseret Revision,401,52,0,85,264,0,400,264,85,51,0,1,349,4,BHA Statsautoriseret Revision
37984558,Kjær Revision,392,7,0,61,324,0,392,324,61,7,0,0,385,3,Kjær Revision + Revision Kjær
35663916,Algade Revision,389,50,1,68,270,0,389,270,68,50,1,0,338,2,Algade Revision
19536890,SR Revision,385,41,0,128,216,0,382,216,128,38,0,3,344,4,SR Revision
10108454,Andersen,383,63,4,117,198,1,378,198,117,58,4,5,315,3,Andersen + Andersen Revision
19857298,ReviTotal Statsautoriseret Revisionsfirma,370,5,3,74,288,0,370,288,74,5,3,0,362,2,ReviTotal Statsautoriseret Revisionsfirma
26429862,PJ Revision ApS Registrerede Revisorer,369,7,0,28,334,0,369,334,28,7,0,0,362,4,PJ Revision ApS Registrerede Revisorer + PJ Revision Statsautoriseret Revisionsanpartsselskab
34351961,VKST Revision,368,13,2,71,282,0,368,282,71,13,2,0,353,3,VKST Revision
36920289,Dansk Revision Wulff & Haaning,362,39,0,94,229,0,356,229,94,33,0,6,323,4,Dansk Revision Wulff & Haaning
40689745,Vadskær Krømmelbein,361,3,0,85,273,0,361,273,85,3,0,0,358,3,Vadskær Krømmelbein
30816471,Dansk Revision Sønderborg,360,18,0,89,253,0,351,253,89,9,0,9,342,4,Dansk Revision Sønderborg
26923891,Revisionsfirmaet Lars Jeppesen,351,8,0,34,309,0,351,309,34,8,0,0,343,2,Revisionsfirmaet Lars Jeppesen + Revisionsfirmaet Lars Jeppesen ApS
36464852,ADDCO P/S Godkendte Revisorer,349,20,1,60,266,2,347,266,60,20,1,0,326,4,ADDCO P/S Godkendte Revisorer
41943661,Lokal Revision - statsautoriseret revisionsanpartsselskab,347,46,2,45,254,0,346,254,45,45,2,1,299,2,Lokal Revision - statsautoriseret revisionsanpartsselskab
33534841,Talkompagniet,343,17,1,100,225,0,342,225,100,16,1,1,325,2,Talkompagniet
38951394,Revisionscentret Sønderborg,342,2,1,66,272,1,342,272,66,2,1,0,338,2,Revisionscentret Sønderborg
53371914,"Ri, Statsautoriseret Revisionsaktieselskab",339,124,1,43,171,0,330,171,43,115,1,9,214,8,Ri Statsautoriseret Revisionspartnerselskab
73953413,RR Revision v/Benny Jakobsen,337,6,0,68,263,0,337,263,68,6,0,0,331,1,RR Revision v/Benny Jakobsen
27525989,Skov Revision,337,8,1,77,251,0,337,251,77,8,1,0,328,3,Skov Revision
28939523,Ecovis Danmark,333,95,7,73,158,0,322,158,73,84,7,11,231,4,Ecovis Danmark
30077288,Complet Revision,333,2,0,72,259,0,333,259,72,2,0,0,331,2,Complet Revision
41578513,Revisions-Centret ApS,333,11,0,89,233,0,329,233,89,7,0,4,322,1,Revisions-Centret ApS
18936305,Revisionscentret Ribe,333,10,0,80,243,0,331,243,80,8,0,2,323,4,Revisionscentret Ribe
13835640,Korsgaard Revision,330,3,0,66,261,0,330,261,66,3,0,0,327,1,Korsgaard Revision
17835998,Dansk Revision Aalborg,328,32,0,92,204,0,326,204,92,30,0,2,296,4,Dansk Revision Aalborg
36427205,Attent Statsautoriseret Revisionsanpartsselskab,328,47,0,105,175,1,322,175,105,42,0,5,280,3,Attent Statsautoriseret Revisionsanpartsselskab
29091331,2TalRevision,324,4,0,93,227,0,323,227,93,3,0,1,320,3,2TalRevision
32327249,Revisionsfirmaet Edelbo & Lund-Larsen,320,103,0,15,198,4,315,198,15,102,0,1,213,3,Revisionsfirmaet Edelbo & Lund-Larsen
34879753,Revisionsfirmaet Tage Sørensen,310,15,0,86,209,0,309,209,86,14,0,1,295,1,Revisionsfirmaet Tage Sørensen
59051318,Profil Revision,306,3,0,47,256,0,306,256,47,3,0,0,303,1,Profil Revision
12475780,Revision & Data,303,0,0,32,271,0,303,271,32,0,0,0,303,1,Revision & Data
21872741,Revisionsfirmaet Peder Holt,297,1,0,104,192,0,297,192,104,1,0,0,296,2,Revisionsfirmaet Peder Holt
45000370,Agillix Fmba,295,0,0,0,295,0,295,295,0,0,0,0,295,9,Agillix Fmba
16645699,Revisionsfirmaet Axel Gram,295,0,0,90,205,0,295,205,90,0,0,0,295,3,Revisionsfirmaet Axel Gram
76893713,ReviVision,294,12,0,44,238,0,294,238,44,12,0,0,282,4,ReviVision
28320124,Christensen & Kjær,294,40,3,72,179,0,293,179,72,39,3,1,251,2,Christensen & Kjær
28842562,Barrett revisionsanpartsselskab,293,9,0,13,271,0,293,271,13,9,0,0,284,4,Barrett revisionsanpartsselskab
44775530,Revision 360 Statsautoriseret Revisionsinteressentskab,291,55,0,54,182,0,290,182,54,54,0,1,236,2,Revision 360 Statsautoriseret Revisionsinteressentskab
29619670,Willads & Vibe-Hastrup,287,8,0,80,199,0,287,199,80,8,0,0,279,4,Willads & Vibe-Hastrup
26659817,Revisionsfirmaet Per Kronborg,286,44,0,158,84,0,286,84,158,44,0,0,242,1,Revisionsfirmaet Per Kronborg
39065797,Midt Revision,282,0,0,0,282,0,282,282,0,0,0,0,282,1,Midt Revision
17610430,GBH Revision & Rådgivning,280,10,3,54,213,0,280,213,54,10,3,0,267,4,GBH Revision & Rådgivning
26593093,Revisorhuset,278,0,0,67,211,0,278,211,67,0,0,0,278,4,Revisorhuset
32697674,Revisionsfirmaet Seiersen Revision,278,9,0,40,229,0,278,229,40,9,0,0,269,1,Revisionsfirmaet Seiersen Revision
19952193,Revisorerne i Skals,277,9,0,43,225,0,277,225,43,9,0,0,268,3,Revisorerne i Skals
27619096,Kreston JC,276,45,0,55,176,0,274,176,55,43,0,2,231,2,Kreston JC
32291090,Revice,273,6,0,63,204,0,269,204,63,2,0,4,267,2,Revice
34622310,V & CO,266,25,0,89,152,0,266,152,89,25,0,0,241,2,V & CO
35407359,Din Revisor,264,0,1,46,217,0,264,217,46,0,1,0,263,4,Din Revisor
25510461,Sædding Revision,263,0,0,0,263,0,263,263,0,0,0,0,263,2,Sædding Revision
39886871,Verum Cura,261,25,0,74,162,0,261,162,74,25,0,0,236,2,"Verum Cura + Verum Cura, Godkendt Revisionsanpartsselskab"
44401231,REVIFJORD Godkendt Revisionspartnerselskab,260,1,0,51,208,0,260,208,51,1,0,0,259,2,REVIFJORD Godkendt Revisionspartnerselskab
27433863,Revision Vadestedet,258,34,7,66,151,0,256,151,65,33,7,2,216,5,Revision Vadestedet
30905652,Ib Rohde,258,25,0,36,197,0,258,197,36,25,0,0,233,2,Ib Rohde
38695916,N.G. Christensen Statsautoriseret Revisionsanpartsselskab,257,2,0,117,137,1,256,137,117,2,0,0,254,2,N.G. Christensen Statsautoriseret Revisionsanpartsselskab
34213798,Advisor-Revision,256,59,1,0,196,0,256,196,0,59,1,0,196,1,Advisor-Revision
32671594,Bjørnlaursen,256,58,0,16,182,0,255,182,16,57,0,1,198,2,Bjørnlaursen
27428843,Sagro,256,0,0,128,128,0,256,128,128,0,0,0,256,12,Sagro
33150482,MBA Statsautoriseret Revisionsanpartsselskab,245,49,1,38,157,0,245,157,38,49,1,0,195,1,MBA Statsautoriseret Revisionsanpartsselskab
25172795,Dansk Revision Skive,245,14,0,81,150,0,242,150,81,11,0,3,231,3,Dansk Revision Skive
31501741,Revisionsfirmaet Ole Vestergaard,244,79,0,26,139,0,242,139,26,77,0,2,165,4,Revisionsfirmaet Ole Vestergaard
29618038,Center Revision Kjellerup,243,13,0,62,168,0,240,168,62,10,0,3,230,2,Center Revision Kjellerup
43196863,BG Statsautoriserede revisorer ApS,242,17,0,50,175,0,242,175,50,17,0,0,225,2,BG Statsautoriserede revisorer ApS
33088205,MunkStrunge,241,0,0,71,170,0,241,170,71,0,0,0,241,2,MunkStrunge
32344720,Mer Revision,239,0,0,23,216,0,239,216,23,0,0,0,239,2,Mer Revision
24256995,Haamann A/S,237,36,1,40,160,0,232,160,40,31,1,5,200,3,Haamann A/S + Haamann Statsautoriseret Revisionspartnerselskab
87948412,Revida,236,7,4,41,184,0,236,184,41,7,4,0,225,2,Revida
19674193,DSH-Revision,236,7,0,64,163,2,231,163,64,4,0,3,227,2,DSH-Revision
