accounting_office_cvr,accounting_office_name,mne_source_name,declarations_2025_2026,class_b,class_b_assistance,class_b_extended_review,class_b_audit,class_b_review,addressable_annual_reports,class_other
37557064,Advosion,Advosion,535,518,313,129,76,0,442,17
69305210,Revisions-Partner,Revisions-Partner,529,529,400,73,55,1,473,0
33948794,Kreston SR,Kreston SR,528,521,380,102,39,0,482,7
20183497,Bays Revisionskontor,Bays Revisionskontor,521,520,453,64,3,0,517,1
31626536,Anker Høst,Anker Høst,515,515,355,153,7,0,508,0
37605255,Nordkyst Revision Godkendt Revisionspartnerselskab,Nordkyst Revision Godkendt Revisionspartnerselskab,514,514,420,73,21,0,493,0
70969815,K.T. Revision Vejle,K.T. Revision Vejle,505,502,293,169,40,0,462,2
19233383,Optimal Revision,Optimal Revision,488,488,340,118,29,1,458,0
37135119,Revisionsfirmaet Lars Olsen,Revisionsfirmaet Lars Olsen,486,486,302,182,2,0,484,0
37603686,Danica,Danica,485,485,444,38,3,0,482,0
36074981,Boreco,Boreco,484,484,339,111,33,1,450,0
33167288,LPOG ApS,LPOG ApS,466,463,328,116,17,2,444,3
74717810,Rønne Revision,Rønne Revision,466,461,292,147,22,0,439,5
16206407,W. Kragh,W. Kragh,458,452,299,122,30,1,421,6
18282046,Bille & Buch-Andersen,Bille & Buch-Andersen,457,456,309,92,50,5,401,1
32451195,DLBR Revision,DLBR Revision,454,453,62,376,15,0,438,0
26580390,Dansk Revision Hillerød,Dansk Revision Hillerød,452,443,264,108,71,0,372,6
86141019,Dansk Revision Frederikssund,Dansk Revision Frederikssund,451,450,320,81,48,1,401,1
34480370,Revimidt,Revimidt,449,442,360,72,9,1,432,6
27905072,Sønderup & Partnere,Sønderup & Partnere,446,445,265,176,4,0,441,1
20336390,Dansk Revision Viborg,Dansk Revision Viborg,446,443,360,54,28,1,414,3
31579309,Lou Revision,Lou Revision,445,441,254,164,22,1,418,4
29142807,Tønder Revision,Tønder Revision,442,442,322,70,50,0,392,0
38257846,RevisorDK,RevisorDK,442,442,366,75,1,0,441,0
21696382,"Dalsgaard, Stahl & Wøldike","Dalsgaard, Stahl & Wøldike",438,435,285,131,19,0,416,3
34619654,Revision København Godkendt Revisionspartnerselskab,Revision København Godkendt Revisionspartnerselskab,418,415,324,66,23,2,390,3
28312393,Revisionsfirmaet John Schantz,Revisionsfirmaet John Schantz,416,416,325,71,19,1,396,0
12901038,Aage Maagensen,Aage Maagensen,412,401,210,144,39,8,354,11
10422183,"Dahl, Rask & Partnere","Dahl, Rask & Partnere",405,404,280,117,6,0,397,1
18967901,BHA Statsautoriseret Revision,BHA Statsautoriseret Revision,401,400,264,85,51,0,349,1
37984558,Kjær Revision,Kjær Revision + Revision Kjær,392,392,324,61,7,0,385,0
35663916,Algade Revision,Algade Revision,389,389,270,68,50,1,338,0
19536890,SR Revision,SR Revision,385,382,216,128,38,0,344,3
10108454,Andersen,Andersen Revision + Andersen,383,378,198,117,58,4,315,5
19857298,ReviTotal Statsautoriseret Revisionsfirma,ReviTotal Statsautoriseret Revisionsfirma,370,370,288,74,5,3,362,0
26429862,PJ Revision ApS Registrerede Revisorer,PJ Revision Statsautoriseret Revisionsanpartsselskab + PJ Revision ApS Registrerede Revisorer,369,369,334,28,7,0,362,0
34351961,VKST Revision,VKST Revision,368,368,282,71,13,2,353,0
36920289,Dansk Revision Wulff & Haaning,Dansk Revision Wulff & Haaning,362,356,229,94,33,0,323,6
40689745,Vadskær Krømmelbein,Vadskær Krømmelbein,361,361,273,85,3,0,358,0
30816471,Dansk Revision Sønderborg,Dansk Revision Sønderborg,360,351,253,89,9,0,342,9
26923891,Revisionsfirmaet Lars Jeppesen,Revisionsfirmaet Lars Jeppesen ApS + Revisionsfirmaet Lars Jeppesen,351,351,309,34,8,0,343,0
36464852,ADDCO P/S Godkendte Revisorer,ADDCO P/S Godkendte Revisorer,349,347,266,60,20,1,326,0
41943661,Lokal Revision - statsautoriseret revisionsanpartsselskab,Lokal Revision - statsautoriseret revisionsanpartsselskab,347,346,254,45,45,2,299,1
33534841,Talkompagniet,Talkompagniet,343,342,225,100,16,1,325,1
38951394,Revisionscentret Sønderborg,Revisionscentret Sønderborg,342,342,272,66,2,1,338,0
53371914,"Ri, Statsautoriseret Revisionsaktieselskab",Ri Statsautoriseret Revisionspartnerselskab,339,330,171,43,115,1,214,9
73953413,RR Revision v/Benny Jakobsen,RR Revision v/Benny Jakobsen,337,337,263,68,6,0,331,0
27525989,Skov Revision,Skov Revision,337,337,251,77,8,1,328,0
28939523,Ecovis Danmark,Ecovis Danmark,333,322,158,73,84,7,231,11
30077288,Complet Revision,Complet Revision,333,333,259,72,2,0,331,0
41578513,Revisions-Centret ApS,Revisions-Centret ApS,333,329,233,89,7,0,322,4
18936305,Revisionscentret Ribe,Revisionscentret Ribe,333,331,243,80,8,0,323,2
13835640,Korsgaard Revision,Korsgaard Revision,330,330,261,66,3,0,327,0
17835998,Dansk Revision Aalborg,Dansk Revision Aalborg,328,326,204,92,30,0,296,2
36427205,Attent Statsautoriseret Revisionsanpartsselskab,Attent Statsautoriseret Revisionsanpartsselskab,328,322,175,105,42,0,280,5
29091331,2TalRevision,2TalRevision,324,323,227,93,3,0,320,1
32327249,Revisionsfirmaet Edelbo & Lund-Larsen,Revisionsfirmaet Edelbo & Lund-Larsen,320,315,198,15,102,0,213,1
34879753,Revisionsfirmaet Tage Sørensen,Revisionsfirmaet Tage Sørensen,310,309,209,86,14,0,295,1
59051318,Profil Revision,Profil Revision,306,306,256,47,3,0,303,0
12475780,Revision & Data,Revision & Data,303,303,271,32,0,0,303,0
21872741,Revisionsfirmaet Peder Holt,Revisionsfirmaet Peder Holt,297,297,192,104,1,0,296,0
45000370,Agillix Fmba,Agillix Fmba,295,295,295,0,0,0,295,0
16645699,Revisionsfirmaet Axel Gram,Revisionsfirmaet Axel Gram,295,295,205,90,0,0,295,0
76893713,ReviVision,ReviVision,294,294,238,44,12,0,282,0
28320124,Christensen & Kjær,Christensen & Kjær,294,293,179,72,39,3,251,1
28842562,Barrett revisionsanpartsselskab,Barrett revisionsanpartsselskab,293,293,271,13,9,0,284,0
44775530,Revision 360 Statsautoriseret Revisionsinteressentskab,Revision 360 Statsautoriseret Revisionsinteressentskab,291,290,182,54,54,0,236,1
29619670,Willads & Vibe-Hastrup,Willads & Vibe-Hastrup,287,287,199,80,8,0,279,0
26659817,Revisionsfirmaet Per Kronborg,Revisionsfirmaet Per Kronborg,286,286,84,158,44,0,242,0
39065797,Midt Revision,Midt Revision,282,282,282,0,0,0,282,0
17610430,GBH Revision & Rådgivning,GBH Revision & Rådgivning,280,280,213,54,10,3,267,0
26593093,Revisorhuset,Revisorhuset,278,278,211,67,0,0,278,0
32697674,Revisionsfirmaet Seiersen Revision,Revisionsfirmaet Seiersen Revision,278,278,229,40,9,0,269,0
19952193,Revisorerne i Skals,Revisorerne i Skals,277,277,225,43,9,0,268,0
27619096,Kreston JC,Kreston JC,276,274,176,55,43,0,231,2
32291090,Revice,Revice,273,269,204,63,2,0,267,4
34622310,V & CO,V & CO,266,266,152,89,25,0,241,0
35407359,Din Revisor,Din Revisor,264,264,217,46,0,1,263,0
25510461,Sædding Revision,Sædding Revision,263,263,263,0,0,0,263,0
39886871,Verum Cura,"Verum Cura, Godkendt Revisionsanpartsselskab + Verum Cura",261,261,162,74,25,0,236,0
44401231,REVIFJORD Godkendt Revisionspartnerselskab,REVIFJORD Godkendt Revisionspartnerselskab,260,260,208,51,1,0,259,0
27433863,Revision Vadestedet,Revision Vadestedet,258,256,151,65,33,7,216,2
30905652,Ib Rohde,Ib Rohde,258,258,197,36,25,0,233,0
38695916,N.G. Christensen Statsautoriseret Revisionsanpartsselskab,N.G. Christensen Statsautoriseret Revisionsanpartsselskab,257,256,137,117,2,0,254,0
34213798,Advisor-Revision,Advisor-Revision,256,256,196,0,59,1,196,0
32671594,Bjørnlaursen,Bjørnlaursen,256,255,182,16,57,0,198,1
27428843,Sagro,Sagro,256,256,128,128,0,0,256,0
33150482,MBA Statsautoriseret Revisionsanpartsselskab,MBA Statsautoriseret Revisionsanpartsselskab,245,245,157,38,49,1,195,0
25172795,Dansk Revision Skive,Dansk Revision Skive,245,242,150,81,11,0,231,3
31501741,Revisionsfirmaet Ole Vestergaard,Revisionsfirmaet Ole Vestergaard,244,242,139,26,77,0,165,2
29618038,Center Revision Kjellerup,Center Revision Kjellerup,243,240,168,62,10,0,230,3
43196863,BG Statsautoriserede revisorer ApS,BG Statsautoriserede revisorer ApS,242,242,175,50,17,0,225,0
33088205,MunkStrunge,MunkStrunge,241,241,170,71,0,0,241,0
32344720,Mer Revision,Mer Revision,239,239,216,23,0,0,239,0
24256995,Haamann A/S,Haamann Statsautoriseret Revisionspartnerselskab + Haamann A/S,237,232,160,40,31,1,200,5
87948412,Revida,Revida,236,236,184,41,7,4,225,0
19674193,DSH-Revision,DSH-Revision,236,231,163,64,4,0,227,3
19154408,Krogh & Thomsen,Krogh & Thomsen,235,235,132,101,2,0,233,0
31929342,Multi Revision,Multi Revision,234,232,189,42,1,0,231,2
21631930,"Dueholm & Partnere, Godkendt Revisionshus","Dueholm & Partnere, Godkendt Revisionshus",233,233,158,41,34,0,199,0
32160565,Agenda Revision,Agenda Revision,230,225,145,68,12,0,213,5
39886227,Talmennesker,Talmennesker,230,230,171,47,12,0,218,0
33357966,Attiri,Attiri,228,228,174,49,5,0,223,0
15618175,Compu Revision,Compu Revision,227,227,143,83,0,1,226,0
